PU,NAME,WGMS_ID,LATITUDE,LONGITUDE,GEOREG1,GEOREG2,SURVEY_YEAR,REFERENCE_YEAR,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,ELA,AAR
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1957,1956,NA,NA,-150,3760,48
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1958,1957,NA,NA,330,3670,67
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1959,1958,NA,NA,-420,3800,37
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1960,1959,NA,NA,-100,3740,54
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1961,1960,NA,NA,-560,3820,34
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1962,1961,NA,NA,-690,3840,31
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1963,1962,NA,NA,440,3640,72
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1964,1963,NA,NA,520,3600,76
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1965,1964,1162,-1185,-20,3730,53
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1966,1965,1133,-1070,60,3775,62
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1967,1966,1284,-1052,230,3720,58
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1968,1967,NA,NA,-780,3840,35
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1969,1968,1210,-998,210,3720,58
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1970,1969,1146,-1014,120,3790,45
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1971,1970,990,-1317,-330,3820,38
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1972,1971,946,-842,130,3730,59
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1973,1972,1005,-1315,-300,3800,38
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1974,1973,787,-1409,-620,3860,35
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1975,1974,950,-1400,-450,3840,34
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1976,1975,510,-1230,-720,3860,37
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1977,1976,480,-1580,-1100,3840,32
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1978,1977,350,-1830,-1480,4210,6
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1979,1978,700,-1220,-520,3850,25
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1980,1979,560,-1190,-630,3850,39
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1981,1980,660,-550,110,3760,58
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1982,1981,460,-1090,-630,3820,38
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1983,1982,680,-1220,-540,3930,24
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1984,1983,400,-1650,-1250,4050,10
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1985,1984,500,-1050,-550,3840,42
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1986,1985,1130,-1650,-520,3850,34
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1987,1986,930,-1270,-340,3800,40
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1988,1987,1090,-1700,-610,3835,35
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1989,1988,820,-1280,-460,3825,37
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1990,1989,920,-1880,-960,3885,28
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1991,1990,270,-1370,-1100,3950,22
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1992,1991,550,-790,-240,3800,38
KZ,TS.TUYUKSUYSKIY,817,43.05,77.08,"Asia, Central","Tien Shan, West",1993,1992,585,17,602,3632,80
